Slice,AnnReturn,Sharpe,MaxDD,MAR,Model,K
Train,4.8923505655956605,10.02211351579622,-0.03432691007772859,142.52231134458657,Strategy,10
Test,4.0176191091812115,9.484340152868265,-0.029917024783929658,134.2920674163873,Strategy,10
Full,4.61593127478249,9.863567335670638,-0.03432691007772859,134.4697575263939,Strategy,10
Train,0.2178405516410471,1.2732793086076855,-0.22114312149383697,0.9850659164504834,Equal-Weight BH,10
Test,0.3290407988688764,1.9171473262742427,-0.18258261796311281,1.8021474472194967,Equal-Weight BH,10
Full,0.2501794490507643,1.4566363990756863,-0.22114312149383697,1.1313010658472438,Equal-Weight BH,10
Train,5.621545684655832,8.118857177248824,-0.05499242923749914,102.22399269502573,Strategy,6
Test,6.051734155405028,8.367260486611011,-0.050874892503441016,118.95325685446329,Strategy,6
Full,5.748964761709187,8.193502426432538,-0.05499242923749914,104.54102212653281,Strategy,6
Train,0.21367235584182787,1.3958352701664165,-0.24911649651072276,0.8577206200097259,Equal-Weight BH,6
Test,0.4163526969552802,2.437515984349782,-0.16844008549609935,2.4718148042315136,Equal-Weight BH,6
Full,0.27131432889530616,1.709735566118805,-0.24911649651072276,1.0891062322066172,Equal-Weight BH,6
Train,3.5443367404999915,7.9956453067488775,-0.04183654045989704,84.7186861422603,Strategy,5
Test,2.8538546305871026,7.877658129374598,-0.03590167732023075,79.49084398290614,Strategy,5
Full,3.32588194918005,7.954505823430781,-0.04183654045989704,79.497059570882,Strategy,5
Train,0.11592232845076644,0.9679452806828717,-0.17399233138399128,0.6662496417438789,Equal-Weight BH,5
Test,0.28335342051229273,2.2277688900176256,-0.1253369329163071,2.260733639473212,Equal-Weight BH,5
Full,0.16380796823550958,1.3327154280752254,-0.17399233138399128,0.9414665975938595,Equal-Weight BH,5
Train,2.9859578421578594,7.599844328102286,-0.03791366176465927,78.75677798395041,Strategy,4
Test,2.5834082355297934,7.672316125748677,-0.03854706883243786,67.01957668324243,Strategy,4
Full,2.860951092752173,7.61390459032671,-0.03854706883243786,74.21967945704462,Strategy,4
Train,0.08232957218029435,0.698412753550449,-0.1765414560877152,0.46634696464375275,Equal-Weight BH,4
Test,0.22761754172791315,1.822207322963965,-0.09908730386527154,2.2971413374755203,Equal-Weight BH,4
Full,0.12416901186552631,1.0199734416148574,-0.1765414560877152,0.7033419493483305,Equal-Weight BH,4
Train,2.7136923250823144,7.075851324853239,-0.04604646081369246,58.93378724723543,Strategy,3
Test,2.2459693276999944,7.0702013900548,-0.039024268795558315,57.55314313424439,Strategy,3
Full,2.5669742824890123,7.0658994240138915,-0.04604646081369246,55.74748280601171,Strategy,3
Train,0.06882796909555045,0.5265692513412229,-0.2161610945459178,0.31841053192358687,Equal-Weight BH,3
Test,0.14081730078514432,1.063986061712555,-0.09913538274877165,1.420454502526134,Equal-Weight BH,3
Full,0.09013829459965406,0.6758551905459075,-0.2161610945459178,0.4169959205147646,Equal-Weight BH,3
Train,3.0358745983542423,6.725098250602481,-0.10927430779638259,27.782144399497554,Strategy,2
Test,1.854156301838295,5.961888715852388,-0.06650643613982188,27.87935137495793,Strategy,2
Full,2.6377437547298226,6.504225772574814,-0.10927430779638259,24.138736798451195,Strategy,2
Train,0.09168214521122287,0.5556334394395199,-0.23878935592940664,0.3839456949593971,Equal-Weight BH,2
Test,0.031153601672656794,0.27023594782330457,-0.1500057458664339,0.20768272236982288,Equal-Weight BH,2
Full,0.07327127677830658,0.4772461357173176,-0.2432300217448834,0.30124273415211306,Equal-Weight BH,2
